Step: 2000, Reward: -607.485402898863
Step: 4000, Reward: -917.2028566859663
Step: 6000, Reward: -575.9056903645396
Step: 8000, Reward: -662.5658141747117
Step: 10000, Reward: -401.52753715217113
Step: 12000, Reward: -518.0591724216938
Step: 14000, Reward: -617.6180204302073
Step: 16000, Reward: -603.1829337105155
Step: 18000, Reward: -589.396799236536
Step: 20000, Reward: -879.2907534334809
Step: 22000, Reward: -732.276221729815
Step: 24000, Reward: -466.4316195640713
Step: 26000, Reward: -465.2399157881737
Step: 28000, Reward: -318.0691526122391
Step: 30000, Reward: -1433.1881920471787
Step: 32000, Reward: -1565.4659407306463
Step: 34000, Reward: -509.46816213428974
Step: 36000, Reward: -434.1333887577057
Step: 38000, Reward: -681.6685106866062
Step: 40000, Reward: -462.375953681767
Step: 42000, Reward: -492.76433947496116
Step: 44000, Reward: -570.7665467485785
Step: 46000, Reward: -919.2141919918358
Step: 48000, Reward: -506.077728189528
Step: 50000, Reward: -230.76207011565566
Step: 52000, Reward: -375.3465648852289
Step: 54000, Reward: -490.8104110583663
Step: 56000, Reward: -854.3038534056395
Step: 58000, Reward: -505.9189256578684
Step: 60000, Reward: -378.5663042552769
Step: 62000, Reward: -683.5877669155598
Step: 64000, Reward: -1249.9764393121004
Step: 66000, Reward: -622.7337556406856
Step: 68000, Reward: -316.89372892677784
Step: 70000, Reward: -743.6156836077571
Step: 72000, Reward: -947.34073542431
Step: 74000, Reward: -651.2748869806528
Step: 76000, Reward: -402.27971733547747
Step: 78000, Reward: -770.8135845512152
Step: 80000, Reward: -394.612144343555
Step: 82000, Reward: -708.2831133306026
Step: 84000, Reward: -1192.0346852391958
Step: 86000, Reward: -1019.0569657832384
Step: 88000, Reward: -779.5016938969493
Step: 90000, Reward: -453.71104204654694
Step: 92000, Reward: -308.28630066663027
Step: 94000, Reward: -315.8781053200364
Step: 96000, Reward: -779.128409832716
Step: 98000, Reward: -601.0189207717776
Step: 100000, Reward: -1135.3926579095423
Step: 102000, Reward: -926.7773572839797
Step: 104000, Reward: -415.18673112243414
Step: 106000, Reward: -700.6484170556068
Step: 108000, Reward: -951.5761862769723
Step: 110000, Reward: -594.9596045482904
Step: 112000, Reward: -607.567346662283
Step: 114000, Reward: -867.4460521936417
Step: 116000, Reward: -860.059688270092
Step: 118000, Reward: -890.2707245796919
Step: 120000, Reward: -397.6308543011546
Step: 122000, Reward: -483.5074152946472
Step: 124000, Reward: -781.3798584640026
Step: 126000, Reward: -1478.1944879442453
Step: 128000, Reward: -1020.3080353140831
Step: 130000, Reward: -1023.1735970079899
Step: 132000, Reward: -868.5874418653548
Step: 134000, Reward: -527.3607497662306
Step: 136000, Reward: -763.0520716644824
Step: 138000, Reward: -1182.6078468561172
Step: 140000, Reward: -732.2718451619148
Step: 142000, Reward: -873.7484698388726
Step: 144000, Reward: -633.0749842822552
Step: 146000, Reward: -541.962898238562
Step: 148000, Reward: -475.531915679574
Step: 150000, Reward: -591.2242895755917
Step: 152000, Reward: -502.51732015796006
Step: 154000, Reward: -394.5519491098821
Step: 156000, Reward: -1270.9365871995687
Step: 158000, Reward: -1063.4136241078377
Step: 160000, Reward: -733.7309738844633
Step: 162000, Reward: -549.0070249503478
Step: 164000, Reward: -703.9153169430792
Step: 166000, Reward: -566.846149424091
Step: 168000, Reward: -623.3719893395901
Step: 170000, Reward: -790.9920914508402
Step: 172000, Reward: -544.6909682974219
Step: 174000, Reward: -540.9835660411045
Step: 176000, Reward: -1648.9341341331601
Step: 178000, Reward: -1328.117862421088
Step: 180000, Reward: -1648.6329922098666
Step: 182000, Reward: -322.1608965098858
Step: 184000, Reward: -670.4783592000604
Step: 186000, Reward: -489.16713158786297
Step: 188000, Reward: -467.93443408980966
Step: 190000, Reward: -506.82395504415035
Step: 192000, Reward: -541.5154929459095
Step: 194000, Reward: -613.8634404782206
Step: 196000, Reward: -951.5601229704916
Step: 198000, Reward: -1596.8345265723765
Step: 200000, Reward: -1019.2432794496417
Step: 202000, Reward: -472.8982657454908
